poi_id,lon,lat,category
node/357831876,127.0240488,37.5579793,transit
node/357831878,127.023698,37.5607504,transit
node/357831880,127.0240959,37.561686,transit
node/357831882,127.0239259,37.5645144,transit
node/357831885,127.0234246,37.5669555,transit
node/357831887,127.0280356,37.5671967,transit
node/357831890,127.0304848,37.5725979,transit
node/357831892,127.0304643,37.5758407,transit
node/357831923,127.0971076,37.5994711,transit
node/357831960,127.08523,37.59019,transit
node/357831962,127.08389,37.58669,transit
node/357831966,127.08609,37.59136,transit
node/357831972,127.0837198,37.5816423,transit
node/357831977,127.07781,37.56625,transit
node/357831979,127.0796108,37.5696887,transit
node/357831983,127.0766076,37.557285,transit
node/357831999,127.07598,37.55614,transit
node/357832017,127.0993266,37.5994279,transit
node/357832039,127.04392,37.56692,transit
node/357832046,127.0407558,37.5586864,transit
node/357832059,127.0222526,37.5654849,transit
node/357832101,127.0436508,37.5779814,transit
node/357832111,127.06506,37.5726,transit
node/357832166,126.92467,37.52145,transit
node/357832181,126.9271421,37.5253975,transit
node/357832187,126.9709244,37.5422202,transit
node/357832231,127.0654071,37.57284,transit
node/357832247,127.0434798,37.5782441,transit
node/357832253,126.9733271,37.5597935,transit
node/357832275,126.9669907,37.5385671,transit
node/357832277,126.9698707,37.5486532,transit
node/357832279,126.9704002,37.545439,transit
node/357832304,127.09858,37.59958,transit
node/357832325,127.0876732,37.5808042,transit
node/357832326,127.0884356,37.581234,transit
node/357832336,127.0679911,37.5727315,transit
node/357832343,127.0938793,37.5985237,transit
node/357832353,127.0873007,37.5891229,transit
node/357832362,127.056756,37.5910943,transit
node/357832379,127.05829,37.59332,transit
node/357832442,126.9182622,37.5246214,transit
node/357832484,126.95906,37.54799,transit
node/357832515,127.0456517,37.5805056,transit
node/357832522,127.05786,37.59307,transit
node/357832524,127.05658,37.59117,transit
node/357832538,126.9531,37.54439,transit
node/357832562,126.9962957,37.5666257,transit
node/357832592,127.0190003,37.5857543,transit
node/357832603,126.9223042,37.5727738,transit
node/357832605,126.9200467,37.5710977,transit
node/357832607,126.92061,37.57704,transit
node/357832609,126.9217839,37.57497,transit
node/357832613,126.9220902,37.5774872,transit
node/357832615,126.922225,37.5728246,transit
node/357832621,126.9200899,37.5711949,transit
node/357832623,126.9321197,37.561825,transit
node/357832625,126.9252349,37.5662882,transit
node/357832671,127.0839331,37.5959518,transit
node/357832675,127.0860718,37.5944739,transit
node/357832678,127.0519787,37.5863281,transit
node/357832694,127.0197084,37.5848868,transit
node/357832732,127.0613759,37.596057,transit
node/357832738,127.0682636,37.5945675,transit
node/357832741,127.06893,37.59879,transit
node/357832745,127.06526,37.5945,transit
node/357832754,127.04941,37.59153,transit
node/357832758,127.04042,37.59132,transit
node/357832843,127.0885007,37.5827303,transit
node/357832854,127.08589,37.59423,transit
node/357832878,127.06495,37.59524,transit
node/357832882,127.06924,37.59892,transit
node/357832884,127.0652799,37.5978224,transit
node/357832896,127.0304848,37.5862644,transit
node/357832929,127.0468897,37.5915531,transit
node/357832935,127.0500235,37.591338,transit
node/357832941,127.05287,37.59125,transit
node/357833047,127.0020593,37.5728514,transit
node/357833115,126.92704,37.55338,transit
node/357833146,126.9332708,37.5561943,transit
node/357833152,126.9221815,37.5546307,transit
node/357833166,126.9439793,37.5567687,transit
node/357833263,127.0371372,37.5739552,transit
node/357833282,127.00636,37.56635,transit
node/357833288,127.02567,37.57441,transit
node/357833290,127.03091,37.57391,transit
node/357833364,127.04367,37.56629,transit
node/357833369,127.0414853,37.5610001,transit
node/357833386,126.900625,37.5790193,transit
node/357833456,126.95613,37.54584,transit
node/357833458,126.9238641,37.5297668,transit
node/357833464,126.9208415,37.5279245,transit
